,cluster_ID,representative_pathway,fraction_internal_connections,N_internal_connections
0,C.0,cholesterol biosynthesis III,1.0,13
1,C.1,C20 prostanoid biosynthesis Homo sapiens PWY66-374,1.0,9
2,C.2,protein citrullination Homo sapiens PWY-4921,1.0,5
3,C.3,the visual cycle I,1.0,16
4,C.4,sphingosine and sphingosine-1-phosphate metabolism Homo sapiens PWY3DJ-11470,1.0,10
5,C.5,triacylglycerol biosynthesis Homo sapiens TRIGLSYN-PWY,1.0,27
6,C.6,adenosine deoxyribonucleotides de novo biosynthesis Homo sapiens PWY-7227,1.0,11
7,C.7,D-myo-inositol-5-phosphate metabolism Homo sapiens PWY-6367,1.0,19
8,C.8,androgen biosynthesis Homo sapiens PWY66-378,1.0,7
9,C.9,palmitate biosynthesis Homo sapiens PWY-5994,1.0,7
10,C.10,1D-myo-inositol hexakisphosphate biosynthesis II,1.0,15
11,C.11,dolichyl-diphosphooligosaccharide biosynthesis Homo sapiens MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS,1.0,10
12,C.12,triacylglycerol degradation Homo sapiens LIPAS-PWY,1.0,14
13,C.13,heparan sulfate biosynthesis,1.0,22
14,C.14,glycolysis Homo sapiens PWY66-400,1.0,24
15,C.15,2-oxobutanoate degradation Homo sapiens PWY-5130,1.0,8
16,C.16,serotonin and melatonin biosynthesis Homo sapiens PWY-6030,1.0,5
17,C.17,creatine-phosphate biosynthesis Homo sapiens PWY-6158,1.0,5
18,C.18,histidine degradation Homo sapiens PWY-5030,1.0,5
19,C.19,pyridoxal 5'-phosphate salvage Homo sapiens PLPSAL-PWY,1.0,5
20,C.20,glutathione redox reactions I Homo sapiens PWY-4081,1.0,6
21,C.21,mitochondrial L-carnitine shuttle Homo sapiens PWY-6111,1.0,5
